Table_Ref,CollectionYearRange,Parent_Org_ONS_Code,Parent_Org_Name,Org_ONS_Code,Org_Name,Child_Age,Unit,Indicator,Value
9a_9b_9c,2018-19,E12000002,North West,E08000007,Stockport,24m,Number,24m_Eligible_Pop,3533
9a_9b_9c,2018-19,E12000002,North West,E08000007,Stockport,24m,Number,DTap_IPV_Hib,3433
9a_9b_9c,2018-19,E12000002,North West,E08000007,Stockport,24m,Number,MMR,3355
9a_9b_9c,2018-19,E12000002,North West,E08000007,Stockport,24m,Number,Hib_MenC,3346
9a_9b_9c,2018-19,E12000002,North West,E08000007,Stockport,24m,Number,PCV,3342
9a_9b_9c,2018-19,E12000002,North West,E08000007,Stockport,24m,Number,MenB_booster,3302
9a_9b_9c,2018-19,E12000002,North West,E08000008,Tameside,24m,Number,24m_Eligible_Pop,2989
9a_9b_9c,2018-19,E12000002,North West,E08000008,Tameside,24m,Number,DTap_IPV_Hib,2841
9a_9b_9c,2018-19,E12000002,North West,E08000008,Tameside,24m,Number,MMR,2679
9a_9b_9c,2018-19,E12000002,North West,E08000008,Tameside,24m,Number,Hib_MenC,2853
9a_9b_9c,2018-19,E12000002,North West,E08000008,Tameside,24m,Number,PCV,2679
9a_9b_9c,2018-19,E12000002,North West,E08000008,Tameside,24m,Number,MenB_booster,2637
9a_9b_9c,2018-19,E12000002,North West,E08000009,Trafford,24m,Number,24m_Eligible_Pop,2744
9a_9b_9c,2018-19,E12000002,North West,E08000009,Trafford,24m,Number,DTap_IPV_Hib,2653
9a_9b_9c,2018-19,E12000002,North West,E08000009,Trafford,24m,Number,MMR,2628
9a_9b_9c,2018-19,E12000002,North West,E08000009,Trafford,24m,Number,Hib_MenC,2635
9a_9b_9c,2018-19,E12000002,North West,E08000009,Trafford,24m,Number,PCV,2598
9a_9b_9c,2018-19,E12000002,North West,E08000009,Trafford,24m,Number,MenB_booster,2285
9a_9b_9c,2018-19,E12000002,North West,E08000010,Wigan,24m,Number,24m_Eligible_Pop,3653
9a_9b_9c,2018-19,E12000002,North West,E08000010,Wigan,24m,Number,DTap_IPV_Hib,3550
9a_9b_9c,2018-19,E12000002,North West,E08000010,Wigan,24m,Number,MMR,3480
9a_9b_9c,2018-19,E12000002,North West,E08000010,Wigan,24m,Number,Hib_MenC,3490
9a_9b_9c,2018-19,E12000002,North West,E08000010,Wigan,24m,Number,PCV,3499
9a_9b_9c,2018-19,E12000002,North West,E08000010,Wigan,24m,Number,MenB_booster,3456
9a_9b_9c,2018-19,E12000002,North West,E08000011,Knowsley,24m,Number,24m_Eligible_Pop,2115
9a_9b_9c,2018-19,E12000002,North West,E08000011,Knowsley,24m,Number,DTap_IPV_Hib,2003
9a_9b_9c,2018-19,E12000002,North West,E08000011,Knowsley,24m,Number,MMR,1936
9a_9b_9c,2018-19,E12000002,North West,E08000011,Knowsley,24m,Number,Hib_MenC,1942
9a_9b_9c,2018-19,E12000002,North West,E08000011,Knowsley,24m,Number,PCV,1942
9a_9b_9c,2018-19,E12000002,North West,E08000011,Knowsley,24m,Number,MenB_booster,1932
9a_9b_9c,2018-19,E12000002,North West,E08000012,Liverpool,24m,Number,24m_Eligible_Pop,5945
9a_9b_9c,2018-19,E12000002,North West,E08000012,Liverpool,24m,Number,DTap_IPV_Hib,5663
9a_9b_9c,2018-19,E12000002,North West,E08000012,Liverpool,24m,Number,MMR,5415
9a_9b_9c,2018-19,E12000002,North West,E08000012,Liverpool,24m,Number,Hib_MenC,5466
9a_9b_9c,2018-19,E12000002,North West,E08000012,Liverpool,24m,Number,PCV,5450
9a_9b_9c,2018-19,E12000002,North West,E08000012,Liverpool,24m,Number,MenB_booster,5590
9a_9b_9c,2018-19,E12000002,North West,E08000013,St Helens,24m,Number,24m_Eligible_Pop,2129
9a_9b_9c,2018-19,E12000002,North West,E08000013,St Helens,24m,Number,DTap_IPV_Hib,2022
9a_9b_9c,2018-19,E12000002,North West,E08000013,St Helens,24m,Number,MMR,1915
9a_9b_9c,2018-19,E12000002,North West,E08000013,St Helens,24m,Number,Hib_MenC,1914
9a_9b_9c,2018-19,E12000002,North West,E08000013,St Helens,24m,Number,PCV,1915
9a_9b_9c,2018-19,E12000002,North West,E08000013,St Helens,24m,Number,MenB_booster,1885
9a_9b_9c,2018-19,E12000002,North West,E08000014,Sefton,24m,Number,24m_Eligible_Pop,2671
9a_9b_9c,2018-19,E12000002,North West,E08000014,Sefton,24m,Number,DTap_IPV_Hib,2559
9a_9b_9c,2018-19,E12000002,North West,E08000014,Sefton,24m,Number,MMR,2372
9a_9b_9c,2018-19,E12000002,North West,E08000014,Sefton,24m,Number,Hib_MenC,2389
9a_9b_9c,2018-19,E12000002,North West,E08000014,Sefton,24m,Number,PCV,2390
9a_9b_9c,2018-19,E12000002,North West,E08000014,Sefton,24m,Number,MenB_booster,2545
9a_9b_9c,2018-19,E12000002,North West,E08000015,Wirral,24m,Number,24m_Eligible_Pop,3451
9a_9b_9c,2018-19,E12000002,North West,E08000015,Wirral,24m,Number,DTap_IPV_Hib,3358
9a_9b_9c,2018-19,E12000002,North West,E08000015,Wirral,24m,Number,MMR,3261
9a_9b_9c,2018-19,E12000002,North West,E08000015,Wirral,24m,Number,Hib_MenC,3267
9a_9b_9c,2018-19,E12000002,North West,E08000015,Wirral,24m,Number,PCV,3277
9a_9b_9c,2018-19,E12000002,North West,E08000015,Wirral,24m,Number,MenB_booster,3235
9a_9b_9c,2018-19,E12000002,North West,E10000006,Cumbria,24m,Number,24m_Eligible_Pop,4933
9a_9b_9c,2018-19,E12000002,North West,E10000006,Cumbria,24m,Number,DTap_IPV_Hib,4790
9a_9b_9c,2018-19,E12000002,North West,E10000006,Cumbria,24m,Number,MMR,4774
9a_9b_9c,2018-19,E12000002,North West,E10000006,Cumbria,24m,Number,Hib_MenC,4783
9a_9b_9c,2018-19,E12000002,North West,E10000006,Cumbria,24m,Number,PCV,4760
9a_9b_9c,2018-19,E12000002,North West,E10000006,Cumbria,24m,Number,MenB_booster,4746
9a_9b_9c,2018-19,E12000002,North West,E10000017,Lancashire,24m,Number,24m_Eligible_Pop,13055
9a_9b_9c,2018-19,E12000002,North West,E10000017,Lancashire,24m,Number,DTap_IPV_Hib,11661
