CTRY,SC_KNOWL,UND_SCSCI,SC_DZ,SC_POET,SC_PS,SC_SS,SC_UNI,SCINFO_30D,MDHINFO_30D,SC_INT,MDH_INT,CONF_NGO,CONF_HOSP,TRU_NEIGHB,TRU_SCI,TRU_JO,TRU_HCW,TRU_NGOPPL,TRU_TH,TRU_SC,TRUSCI_ACCINFO,TRUSCIUNI_BEN,TRUSCIUNI_HON,TRUSCICOM_BEN,TRUSCICOM_HON,SCI_BENPPL,SCI_BENRESP,SCTECH_IMPRLIFE,SCTECH_JOBS,TRU_PPLADV,TRU_HCWADV,HRD_VAC,VAC_IMPTCH,VAC_SF,VAC_EFF,TRUSCI_IDX,TRUSCI_LVL,VW_SC,AGE,AGE_CAT,GEN,EDU,LIV_AR,RGN,SUBJ_HHI,CTRY_INC,EMP_STAT
1,2,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,3,3,1,1,1,2,5,2,1,3,4,5,3.0,2,1,57,3,1,2,1,7,2,4,1
1,2,1,1,2,1,1,2,2,2,1,1,1,1,1,2,4,1,2,2,2,2,2,4,1,2,2,1,1,2,3,2,1,2,2,2,2.8,2,2,52,3,1,2,2,7,2,4,1
1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,3,2,1,2,1,1,2,2,2,3,2,1,1,1,3,2,1,1,2,2,3.2,2,2,69,3,2,3,2,7,1,4,1
1,1,1,98,2,1,1,1,1,1,1,1,98,2,98,1,2,2,98,2,1,1,1,1,2,2,1,1,1,1,3,2,1,1,1,1,3.8,3,1,49,2,2,3,2,7,1,4,1
1,2,1,1,2,1,1,1,1,1,1,1,98,1,1,2,2,1,2,98,2,98,2,3,2,2,1,1,1,1,3,2,1,1,1,2,2.75,2,1,39,2,2,3,2,7,1,4,1
1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,98,2,2,1,1,1,1,3,1,1,1,1,1,3.75,3,1,63,3,1,2,2,7,1,4,6
1,2,2,1,2,1,1,2,1,1,1,2,2,1,1,2,2,1,98,2,2,2,2,2,2,2,3,1,1,3,3,2,1,1,1,1,3.0,2,2,70,3,1,2,1,7,3,4,6
1,2,1,1,2,1,1,1,1,1,2,1,1,2,3,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,3,2,1,2,2,2,3.6,3,2,41,2,2,3,2,7,2,4,1
1,1,1,1,2,1,1,1,2,1,2,1,1,1,3,2,4,2,3,2,2,1,1,4,1,4,1,1,1,2,3,2,1,1,1,1,3.2,2,1,24,1,1,2,2,7,1,4,1
1,3,1,1,2,1,1,1,2,1,1,1,1,1,98,2,2,1,1,98,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,3.6,3,1,18,1,2,2,2,7,1,4,5
1,3,2,1,2,1,2,2,2,2,2,1,2,1,98,4,4,3,4,4,4,4,4,4,4,4,3,2,2,1,3,4,1,4,5,4,1.0,1,4,65,3,1,2,1,7,3,4,6
1,99,1,1,2,1,1,1,1,1,99,1,1,1,98,1,3,1,3,1,1,1,98,98,4,4,1,1,1,98,3,1,1,1,1,99,3.0,2,1,28,1,1,2,2,7,1,4,1
1,1,1,1,2,1,1,1,1,1,1,1,98,1,2,2,4,2,4,3,1,2,98,4,98,98,1,1,1,2,3,3,1,1,1,1,2.3333333333333304,1,1,81,3,1,2,1,7,3,4,1
1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,98,1,1,2,4,2,2,98,98,2,98,2,98,1,2,3,1,1,1,1,1,0.0,99,99,85,3,2,3,1,7,2,4,6
2,3,1,1,1,1,97,97,2,2,1,1,1,2,2,1,3,2,2,3,1,1,98,4,3,98,2,2,1,1,3,2,1,1,1,1,2.75,2,3,42,2,1,1,2,3,3,2,4
2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,4,4,1,4,2,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3.2,2,1,40,2,1,3,2,3,3,2,1
2,3,3,1,2,1,97,97,2,2,1,1,2,2,2,2,4,2,3,1,1,3,3,2,2,2,1,1,1,3,5,3,1,1,2,2,2.6,2,1,53,3,1,1,2,3,3,2,1
2,4,4,98,98,97,97,97,2,2,2,1,1,2,4,98,98,3,2,2,98,98,98,98,98,98,3,98,1,98,3,2,1,1,1,1,0.0,99,99,40,2,2,1,2,3,2,2,4
2,3,2,1,2,1,2,97,2,1,1,1,1,2,2,1,2,4,2,4,2,2,2,2,2,2,3,1,1,2,3,2,1,1,1,1,3.2,2,2,53,3,1,2,2,3,2,2,6
2,2,2,1,2,1,2,97,2,2,1,1,1,1,1,1,3,1,2,3,2,2,2,2,2,2,2,1,2,2,3,1,1,1,1,1,3.2,2,2,20,1,2,2,2,3,1,2,6
2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,2,2,1,1,1,2,1,2,1,1,1,1,3,1,1,1,1,1,3.8,3,1,25,1,2,3,1,3,2,2,6
2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,4,1,2,3,2,3,3,1,1,2,2,3,2,1,1,2,2,2.6,2,1,53,3,2,3,2,3,2,2,1
2,4,4,1,2,97,97,97,2,2,1,2,2,98,2,98,4,3,4,2,98,98,98,98,98,98,98,2,98,3,3,3,1,1,1,1,0.0,99,99,55,3,1,1,2,3,3,2,4
2,3,3,1,2,1,1,97,2,2,1,2,2,1,1,3,4,1,3,4,2,3,3,4,3,4,3,2,1,3,3,2,1,1,1,1,1.8,1,4,50,3,1,2,2,3,3,2,1
2,4,4,98,98,97,97,97,2,2,2,2,98,1,1,98,98,1,98,2,98,98,98,98,98,98,98,98,98,98,3,2,1,1,2,1,0.0,99,99,59,3,2,1,1,3,3,2,6
3,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,3,2,2,4,98,98,3,4,2,2,3,2,2,98,98,2,1,1,1,1,2.25,1,4,40,2,1,1,1,3,3,2,6
3,4,4,98,98,2,2,2,2,98,1,1,98,1,1,98,2,2,98,1,98,98,98,98,98,98,98,1,98,1,98,1,1,1,1,99,0.0,99,99,45,2,2,1,1,3,1,2,6
3,4,3,1,1,2,97,97,2,1,2,1,1,2,4,2,2,2,4,2,2,2,2,2,2,98,3,1,1,2,3,4,1,1,1,1,3.0,2,2,39,2,2,1,1,3,3,2,6
3,4,4,98,98,2,97,97,2,2,1,1,98,2,1,98,98,2,3,3,98,98,98,98,98,98,3,1,98,98,97,2,1,1,1,99,0.0,99,2,50,3,2,1,1,3,2,2,6
3,4,4,1,2,2,97,97,2,2,1,1,98,98,2,2,98,1,98,1,2,2,98,98,2,2,1,1,1,98,2,2,1,1,1,1,3.0,2,1,43,2,2,1,1,3,3,2,6
3,4,4,1,98,97,97,97,2,1,1,1,1,1,1,2,98,2,2,4,1,1,1,1,1,1,98,1,1,1,3,1,1,1,1,1,3.8,3,99,40,2,2,1,1,3,3,2,6
3,4,4,1,1,2,2,2,2,1,1,1,1,2,2,2,2,3,2,4,98,2,2,2,2,2,2,1,1,1,2,3,1,1,5,99,3.0,2,2,36,2,2,1,1,3,1,2,6
3,2,2,1,2,1,1,2,1,1,1,1,1,2,1,1,2,3,2,1,2,1,2,2,2,2,3,2,1,1,5,2,1,1,1,1,3.4,2,4,59,3,1,2,2,3,2,2,4
3,4,4,98,1,2,97,97,2,2,2,1,1,1,1,1,98,1,98,4,98,1,98,98,98,98,98,1,1,1,3,1,1,1,99,1,0.0,99,99,70,3,2,1,2,3,2,2,6
3,4,4,98,98,97,97,97,2,2,2,1,98,98,2,98,2,2,98,4,2,1,3,2,98,98,3,1,2,2,97,4,1,99,99,4,3.0,2,2,66,3,2,1,1,3,3,2,6
3,2,4,1,1,98,2,2,2,1,1,1,2,2,1,98,98,3,98,98,98,98,98,98,98,98,3,1,1,98,3,2,1,1,99,1,0.0,99,2,66,3,2,1,2,3,3,2,6
3,4,4,1,2,2,2,2,2,2,2,1,98,2,2,98,98,1,98,3,2,98,98,98,98,98,98,98,98,98,3,98,1,1,1,5,0.0,99,99,53,3,2,1,1,3,2,2,6
