CTRY,SC_KNOWL,UND_SCSCI,SC_DZ,SC_POET,SC_PS,SC_SS,SC_UNI,SCINFO_30D,MDHINFO_30D,SC_INT,MDH_INT,CONF_NGO,CONF_HOSP,TRU_NEIGHB,TRU_SCI,TRU_JO,TRU_HCW,TRU_NGOPPL,TRU_TH,TRU_SC,TRUSCI_ACCINFO,TRUSCIUNI_BEN,TRUSCIUNI_HON,TRUSCICOM_BEN,TRUSCICOM_HON,SCI_BENPPL,SCI_BENRESP,SCTECH_IMPRLIFE,SCTECH_JOBS,TRU_PPLADV,TRU_HCWADV,HRD_VAC,VAC_IMPTCH,VAC_SF,VAC_EFF,VAC_IDX,VAC_LVL,TRUSCI_IDX,TRUSCI_LVL,VW_SC,AGE,AGE_CAT,GEN,EDU,LIV_AR,RGN,SUBJ_HHI,CTRY_INC,EMP_STAT
166,2,2,1,1,2,1,97,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,3,1,1,5,4,4,4.333333333333333,High,4.0,3,1,64,3,1,2,1,16,1,4,6
153,2,2,1,2,1,1,2,1,1,1,1,1,1,2,3,4,3,2,2,2,2,1,1,2,2,3,1,1,1,3,2,1,5,5,5,5.0,High,3.2,2,2,16,1,2,1,2,10,2,2,1
134,2,1,1,2,1,1,1,1,1,1,1,1,1,3,4,2,4,3,2,4,2,2,3,2,4,1,1,1,1,3,1,1,4,4,4,4.0,High,2.4,1,1,24,1,1,2,2,5,3,2,3
145,4,4,2,2,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,2,98,3,98,2,1,3,3,2,2.6666666666666665,Medium,1.0,1,4,55,3,1,2,1,16,1,3,3
36,2,3,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,3,2,3,1,1,1,3,1,1,5,5,5,5.0,High,2.8,2,2,25,1,2,2,1,1,3,2,1
191,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,3,1,1,5,5,5,5.0,High,3.8,3,1,19,1,2,2,1,9,3,3,6
143,2,1,1,2,1,1,1,1,1,98,98,2,1,98,2,3,1,3,4,1,1,2,2,2,2,1,1,1,3,3,2,1,3,3,3,3.0,Medium,3.2,2,1,22,1,2,2,2,15,2,4,4
116,2,2,1,1,1,1,1,2,2,1,1,2,2,4,4,4,4,4,4,2,2,3,3,2,3,2,1,2,1,97,4,1,5,5,5,5.0,High,2.2,1,2,18,1,2,3,2,6,3,2,6
191,2,2,1,2,1,1,2,2,2,2,2,1,1,1,3,4,2,2,3,2,2,2,2,1,2,98,1,1,2,3,1,1,5,5,5,5.0,High,3.0,2,99,23,1,1,2,2,9,1,3,1
12,3,3,1,2,1,1,2,1,1,1,1,1,1,1,2,3,1,2,4,1,2,2,2,2,2,1,1,1,1,3,1,1,4,5,5,4.666666666666667,High,3.0,2,1,31,2,2,3,2,15,1,4,1
14,3,2,1,2,2,1,1,1,1,2,2,98,2,1,1,2,1,98,2,4,3,1,2,2,4,99,99,99,2,3,1,1,5,5,5,5.0,High,3.2,2,99,33,2,1,2,2,17,1,4,1
197,2,1,1,2,1,97,97,2,1,1,1,2,2,1,4,2,4,2,4,2,2,2,3,3,2,2,2,1,1,1,2,1,5,5,5,5.0,High,2.2,1,3,26,1,1,1,2,13,2,1,5
35,1,1,1,2,1,1,1,1,2,1,1,1,2,3,2,2,2,3,2,2,3,2,2,2,2,1,1,1,2,3,2,1,5,4,4,4.333333333333333,High,2.8,2,1,30,2,1,3,1,5,3,2,6
47,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,1,2,3,2,1,3,2,3,2.6666666666666665,Medium,3.0,2,3,35,2,1,2,2,18,2,4,4
87,2,2,1,2,1,1,97,2,2,2,1,1,1,2,2,4,2,1,4,2,1,2,2,4,4,3,1,1,1,3,2,1,5,5,5,5.0,High,2.8,2,2,27,1,1,2,2,8,2,4,1
129,3,3,1,1,2,2,2,1,2,1,1,1,1,2,2,1,1,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,5,5,5,5.0,High,3.8,3,1,18,1,1,1,1,6,3,2,6
134,2,2,1,2,1,1,2,1,2,1,2,2,2,4,2,3,2,3,2,3,3,98,98,98,98,3,1,2,3,3,3,1,3,3,2,2.6666666666666665,Medium,0.0,99,2,20,1,1,2,2,5,2,2,6
46,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,99,2,2,3,2,2,2,2,2,2,1,1,1,2,3,2,1,5,5,4,4.666666666666667,High,3.0,2,1,30,2,1,2,1,7,1,4,1
198,3,2,1,2,1,1,97,1,1,1,1,1,1,4,4,2,2,1,3,2,1,3,2,2,2,2,2,1,1,2,3,1,5,5,2,4.0,High,2.6,2,3,17,1,1,1,1,0,2,2,6
